Stn_Id,Stn_Name,CIMIS_Region,Date,Hour_(PST),Jul,ETo_(in),qc,Precip_(in),qc,Sol_Rad_(Ly/day),qc,Vap_Pres_(mBars),qc,Air_Temp_(F),qc,Rel_Hum (%),qc,Dew_Point_(F),qc,Wind_Speed_(mph),qc,Wind_Dir (0-360),qc,Soil_Temp_(F),qc
44,U.C. Riverside,Los Angeles Basin,11/2/2019,2100,306,0.00, ,0.00, ,0, ,5.0, ,59.6, ,29, ,27.2, ,2.9, ,146, ,56.8, 
44,U.C. Riverside,Los Angeles Basin,11/2/2019,2200,306,0.00, ,0.00, ,0, ,5.0, ,57.9, ,31, ,27.3, ,2.6, ,142, ,56.8, 
44,U.C. Riverside,Los Angeles Basin,11/2/2019,2300,306,0.00, ,0.00, ,0, ,4.7, ,55.9, ,31, ,25.8, ,1.6, ,164, ,56.7, 
44,U.C. Riverside,Los Angeles Basin,11/2/2019,2400,306,0.00, ,0.00, ,0, ,4.3, ,55.0, ,29, ,23.3, ,1.4, ,156, ,56.7, 
44,U.C. Riverside,Los Angeles Basin,11/3/2019,0100,307,0.00, ,0.00, ,0, ,4.4, ,53.9, ,31, ,24.1, ,1.3, ,131, ,56.6, 
44,U.C. Riverside,Los Angeles Basin,11/3/2019,0200,307,0.00, ,0.00, ,0, ,4.9, ,50.6, ,39, ,26.6, ,1.6, ,151, ,56.7, 
44,U.C. Riverside,Los Angeles Basin,11/3/2019,0300,307,0.00, ,0.00, ,0, ,3.8, ,51.9, ,29, ,20.5, ,1.4, ,140, ,56.8, 
44,U.C. Riverside,Los Angeles Basin,11/3/2019,0400,307,0.00, ,0.00, ,0, ,4.0, ,52.6, ,29, ,21.5, ,2.8, ,128, ,57.5, 
44,U.C. Riverside,Los Angeles Basin,11/3/2019,0500,307,0.00, ,0.00, ,0, ,4.1, ,50.0, ,33, ,22.1, ,1.6, ,159, ,57.2, 
44,U.C. Riverside,Los Angeles Basin,11/3/2019,0600,307,0.00, ,0.00, ,1, ,4.3, ,48.6, ,37, ,23.4, ,1.7, ,149, ,56.9, 
44,U.C. Riverside,Los Angeles Basin,11/3/2019,0700,307,0.00, ,0.00, ,98, ,3.5, ,51.4, ,27, ,18.7, ,2.3, ,146, ,56.8, 
44,U.C. Riverside,Los Angeles Basin,11/3/2019,0800,307,0.00, ,0.00, ,451, ,4.3, ,54.8, ,30, ,23.7, ,1.9, ,317, ,56.8, 
44,U.C. Riverside,Los Angeles Basin,11/3/2019,0900,307,0.01, ,0.00, ,875, ,4.9, ,61.8, ,26, ,26.8, ,1.3, ,303, ,56.7, 
44,U.C. Riverside,Los Angeles Basin,11/3/2019,1000,307,0.01, ,0.00, ,1218, ,3.9, ,71.7, ,15, ,21.2, ,1.9, ,162, ,56.5, 
44,U.C. Riverside,Los Angeles Basin,11/3/2019,1100,307,0.02, ,0.00, ,1433, ,4.4, ,75.3, ,15, ,24.1, ,3.5, ,293, ,56.4, 
44,U.C. Riverside,Los Angeles Basin,11/3/2019,1200,307,0.02, ,0.00, ,1508, ,3.5, ,77.3, ,11, ,18.9, ,4.7, ,278, ,56.5, 
44,U.C. Riverside,Los Angeles Basin,11/3/2019,1300,307,0.02, ,0.00, ,1445, ,3.4, ,78.7, ,10, ,18.0, ,4.9, ,271, ,56.6, 
44,U.C. Riverside,Los Angeles Basin,11/3/2019,1400,307,0.02, ,0.00, ,1249, ,3.0, ,79.8, ,9, ,15.2, ,5.2, ,261, ,56.7, 
44,U.C. Riverside,Los Angeles Basin,11/3/2019,1500,307,0.01, ,0.00, ,911, ,3.3, ,80.2, ,9, ,17.2, ,5.9, ,264, ,57.0, 
44,U.C. Riverside,Los Angeles Basin,11/3/2019,1600,307,0.01, ,0.00, ,491, ,3.8, ,78.3, ,12, ,20.6, ,6.9, ,252, ,57.3, 
44,U.C. Riverside,Los Angeles Basin,11/3/2019,1700,307,0.00, ,0.00, ,116, ,4.7, ,74.0, ,16, ,25.6, ,3.3, ,247, ,57.5, 
44,U.C. Riverside,Los Angeles Basin,11/3/2019,1800,307,0.00, ,0.00, ,2, ,5.2, ,68.3, ,22, ,28.1, ,1.2, ,299, ,57.6, 
44,U.C. Riverside,Los Angeles Basin,11/3/2019,1900,307,0.00, ,0.00, ,0, ,5.4, ,63.6, ,27, ,28.9, ,1.1, ,73, ,57.7, 
44,U.C. Riverside,Los Angeles Basin,11/3/2019,2000,307,0.00, ,0.00, ,0, ,5.6, ,60.7, ,31, ,30.0, ,2.3, ,93, ,57.8, 
44,U.C. Riverside,Los Angeles Basin,11/3/2019,2100,307,0.00, ,0.00, ,0, ,5.9, ,59.6, ,34, ,31.0, ,3.1, ,130, ,57.8, 
44,U.C. Riverside,Los Angeles Basin,11/3/2019,2200,307,0.00, ,0.00, ,0, ,7.3, ,56.8, ,46, ,36.4, ,1.6, ,148, ,57.8, 
44,U.C. Riverside,Los Angeles Basin,11/3/2019,2300,307,0.00, ,0.00, ,0, ,7.6, ,55.3, ,51, ,37.4, ,1.5, ,140, ,57.7, 
44,U.C. Riverside,Los Angeles Basin,11/3/2019,2400,307,0.00, ,0.00, ,0, ,7.2, ,53.7, ,51, ,36.0, ,1.5, ,148, ,57.7, 
44,U.C. Riverside,Los Angeles Basin,11/4/2019,0100,308,0.00, ,0.00, ,0, ,6.6, ,51.9, ,50, ,33.9, ,1.2, ,104, ,57.5, 
44,U.C. Riverside,Los Angeles Basin,11/4/2019,0200,308,0.00, ,0.00, ,0, ,5.9, ,52.0, ,45, ,31.2, ,1.2, ,93, ,57.4, 
44,U.C. Riverside,Los Angeles Basin,11/4/2019,0300,308,0.00, ,0.00, ,0, ,5.7, ,51.6, ,44, ,30.3, ,1.1, ,90, ,57.3, 
44,U.C. Riverside,Los Angeles Basin,11/4/2019,0400,308,0.00, ,0.00, ,0, ,5.6, ,51.4, ,43, ,29.8, ,1.5, ,119, ,57.2, 
44,U.C. Riverside,Los Angeles Basin,11/4/2019,0500,308,0.00, ,0.00, ,0, ,5.1, ,50.9, ,40, ,27.5, ,1.3, ,159, ,57.1, 
44,U.C. Riverside,Los Angeles Basin,11/4/2019,0600,308,0.00, ,0.00, ,1, ,4.9, ,50.5, ,39, ,26.4, ,1.3, ,156, ,56.9, 
44,U.C. Riverside,Los Angeles Basin,11/4/2019,0700,308,0.00, ,0.00, ,86, ,5.3, ,49.9, ,43, ,28.4, ,1.1, ,135, ,56.8, 
44,U.C. Riverside,Los Angeles Basin,11/4/2019,0800,308,0.00,R,0.00, ,422, ,6.0, ,55.2, ,40, ,31.5, ,1.0,I,24, ,56.7, 
44,U.C. Riverside,Los Angeles Basin,11/4/2019,0900,308,0.01, ,0.00, ,847, ,6.2, ,60.9, ,34, ,32.4, ,1.2, ,324, ,56.6, 
44,U.C. Riverside,Los Angeles Basin,11/4/2019,1000,308,0.01, ,0.00, ,1188, ,5.8, ,68.4, ,25, ,30.9, ,2.2, ,327, ,56.5, 
44,U.C. Riverside,Los Angeles Basin,11/4/2019,1100,308,0.02, ,0.00, ,1394, ,5.1, ,73.9, ,18, ,27.6, ,3.0, ,307, ,56.5, 
44,U.C. Riverside,Los Angeles Basin,11/4/2019,1200,308,0.02, ,0.00, ,1468, ,4.2, ,77.9, ,13, ,22.7, ,3.0, ,301, ,56.6, 
44,U.C. Riverside,Los Angeles Basin,11/4/2019,1300,308,0.02, ,0.00, ,1410, ,3.8, ,80.3, ,11, ,20.5, ,3.2, ,278, ,56.8, 
44,U.C. Riverside,Los Angeles Basin,11/4/2019,1400,308,0.02, ,0.00, ,1210, ,4.0, ,81.8, ,11, ,21.5, ,4.5, ,262, ,57.0, 
44,U.C. Riverside,Los Angeles Basin,11/4/2019,1500,308,0.01, ,0.00, ,877, ,3.6, ,82.1, ,10, ,19.1, ,5.0, ,253, ,57.3, 
44,U.C. Riverside,Los Angeles Basin,11/4/2019,1600,308,0.01, ,0.00, ,457, ,4.6, ,81.4, ,12, ,24.9, ,5.4, ,252, ,57.6, 
44,U.C. Riverside,Los Angeles Basin,11/4/2019,1700,308,0.00, ,0.00, ,101, ,5.5, ,77.2, ,17, ,29.3, ,2.5, ,245, ,57.9, 
44,U.C. Riverside,Los Angeles Basin,11/4/2019,1800,308,0.00, ,0.00, ,2, ,6.0, ,69.1, ,25, ,31.6, ,1.2, ,133, ,58.1, 
44,U.C. Riverside,Los Angeles Basin,11/4/2019,1900,308,0.00, ,0.00, ,0, ,7.6, ,65.1, ,36, ,37.4, ,1.2, ,111, ,58.3, 
44,U.C. Riverside,Los Angeles Basin,11/4/2019,2000,308,0.00, ,0.00, ,0, ,8.3, ,63.2, ,42, ,39.6, ,1.2, ,120, ,58.3, 
44,U.C. Riverside,Los Angeles Basin,11/4/2019,2100,308,0.00, ,0.00, ,0, ,8.3, ,59.9, ,47, ,39.6, ,1.7, ,140, ,58.3, 
44,U.C. Riverside,Los Angeles Basin,11/4/2019,2200,308,0.00, ,0.00, ,0, ,7.6, ,58.0, ,46, ,37.6, ,1.7, ,139, ,58.2, 
44,U.C. Riverside,Los Angeles Basin,11/4/2019,2300,308,0.00, ,0.00, ,0, ,7.3, ,56.2, ,47, ,36.4, ,2.3, ,143, ,58.0, 
44,U.C. Riverside,Los Angeles Basin,11/4/2019,2400,308,0.00, ,0.00, ,0, ,7.3, ,55.1, ,49, ,36.3, ,1.9, ,136, ,58.0, 
44,U.C. Riverside,Los Angeles Basin,11/5/2019,0100,309,0.00, ,0.00, ,0, ,7.1, ,53.3, ,51, ,35.6, ,1.8, ,146, ,57.9, 
44,U.C. Riverside,Los Angeles Basin,11/5/2019,0200,309,0.00, ,0.00, ,0, ,7.2, ,51.7, ,55, ,36.1, ,1.8, ,137, ,57.7, 
44,U.C. Riverside,Los Angeles Basin,11/5/2019,0300,309,0.00, ,0.00, ,0, ,6.5, ,51.0, ,51, ,33.6, ,1.9, ,144, ,57.7, 
44,U.C. Riverside,Los Angeles Basin,11/5/2019,0400,309,0.00, ,0.00, ,0, ,6.4, ,50.5, ,51, ,33.1, ,2.3, ,154, ,57.6, 
44,U.C. Riverside,Los Angeles Basin,11/5/2019,0500,309,0.00, ,0.00, ,0, ,6.0, ,51.3, ,46, ,31.4, ,2.4, ,93, ,57.5, 
44,U.C. Riverside,Los Angeles Basin,11/5/2019,0600,309,0.00, ,0.00, ,1, ,6.5, ,50.2, ,52, ,33.4, ,2.2, ,145, ,57.4, 
44,U.C. Riverside,Los Angeles Basin,11/5/2019,0700,309,0.00, ,0.00, ,86, ,5.8, ,51.8, ,44, ,30.6, ,2.1, ,155, ,57.3, 
44,U.C. Riverside,Los Angeles Basin,11/5/2019,0800,309,0.00, ,0.00, ,431, ,6.0, ,59.7, ,34, ,31.4, ,1.9, ,167, ,57.2, 
44,U.C. Riverside,Los Angeles Basin,11/5/2019,0900,309,0.01, ,0.00, ,840, ,6.8, ,65.9, ,31, ,34.8, ,1.9, ,309, ,57.1, 
44,U.C. Riverside,Los Angeles Basin,11/5/2019,1000,309,0.01, ,0.00, ,1184, ,5.5, ,76.5, ,18, ,29.4, ,2.8, ,129, ,57.0, 
44,U.C. Riverside,Los Angeles Basin,11/5/2019,1100,309,0.02, ,0.00, ,1387, ,4.8, ,82.1, ,13, ,26.3, ,3.6, ,203, ,57.0, 
44,U.C. Riverside,Los Angeles Basin,11/5/2019,1200,309,0.02, ,0.00, ,1443, ,5.6, ,83.1, ,15, ,30.0, ,5.5, ,341, ,57.0, 
44,U.C. Riverside,Los Angeles Basin,11/5/2019,1300,309,0.02, ,0.00, ,1380, ,5.0, ,85.0, ,12, ,27.0, ,4.4, ,332, ,57.2, 
44,U.C. Riverside,Los Angeles Basin,11/5/2019,1400,309,0.02, ,0.00, ,1178, ,4.6, ,85.9, ,11, ,25.1, ,6.0, ,325, ,57.5, 
44,U.C. Riverside,Los Angeles Basin,11/5/2019,1500,309,0.01, ,0.00, ,831, ,5.2, ,85.6, ,12, ,27.9, ,5.7, ,266, ,57.8, 
44,U.C. Riverside,Los Angeles Basin,11/5/2019,1600,309,0.01, ,0.00, ,424, ,7.6, ,81.3, ,21, ,37.5, ,7.6, ,248, ,58.0, 
44,U.C. Riverside,Los Angeles Basin,11/5/2019,1700,309,0.00, ,0.00, ,94, ,7.4, ,77.1, ,23, ,36.9, ,2.5, ,192, ,58.2, 
44,U.C. Riverside,Los Angeles Basin,11/5/2019,1800,309,0.00, ,0.00, ,2, ,7.2, ,71.5, ,27, ,36.0, ,2.2, ,137, ,58.3, 
44,U.C. Riverside,Los Angeles Basin,11/5/2019,1900,309,0.00, ,0.00, ,0, ,8.6, ,68.0, ,37, ,40.7, ,2.1, ,154, ,58.4, 
44,U.C. Riverside,Los Angeles Basin,11/5/2019,2000,309,0.00, ,0.00, ,0, ,10.5, ,66.2, ,48, ,45.8, ,1.9, ,80, ,58.4, 
44,U.C. Riverside,Los Angeles Basin,11/5/2019,2100,309,0.00, ,0.00, ,0, ,11.3, ,62.7, ,58, ,47.8, ,2.1, ,95, ,58.4, 
44,U.C. Riverside,Los Angeles Basin,11/5/2019,2200,309,0.00, ,0.00, ,0, ,11.6, ,60.7, ,64, ,48.5, ,2.4, ,152, ,58.4, 
44,U.C. Riverside,Los Angeles Basin,11/5/2019,2300,309,0.00, ,0.00, ,0, ,11.2, ,58.6, ,67, ,47.6, ,2.2, ,139, ,58.4, 
44,U.C. Riverside,Los Angeles Basin,11/5/2019,2400,309,0.00, ,0.00, ,0, ,10.7, ,57.7, ,66, ,46.4, ,3.0, ,146, ,58.4, 
44,U.C. Riverside,Los Angeles Basin,11/6/2019,0100,310,0.00, ,0.00, ,0, ,9.9, ,56.0, ,65, ,44.4, ,2.8, ,146, ,58.3, 
44,U.C. Riverside,Los Angeles Basin,11/6/2019,0200,310,0.00, ,0.00, ,0, ,9.2, ,54.7, ,63, ,42.5, ,1.7, ,155, ,58.3, 
44,U.C. Riverside,Los Angeles Basin,11/6/2019,0300,310,0.00, ,0.00, ,0, ,9.2, ,52.4, ,69, ,42.4, ,2.3, ,139, ,58.1, 
44,U.C. Riverside,Los Angeles Basin,11/6/2019,0400,310,0.00, ,0.00, ,0, ,8.3, ,52.3, ,62, ,39.8, ,2.0, ,155, ,58.2, 
44,U.C. Riverside,Los Angeles Basin,11/6/2019,0500,310,0.00, ,0.00, ,0, ,8.4, ,50.4, ,68, ,40.2, ,1.5, ,134, ,58.2, 
44,U.C. Riverside,Los Angeles Basin,11/6/2019,0600,310,0.00, ,0.00, ,0, ,7.7, ,50.5, ,62, ,37.8, ,2.2, ,137, ,58.2, 
44,U.C. Riverside,Los Angeles Basin,11/6/2019,0700,310,0.00, ,0.00, ,77, ,7.9, ,50.6, ,63, ,38.5, ,2.0, ,135, ,58.0, 
44,U.C. Riverside,Los Angeles Basin,11/6/2019,0800,310,0.00, ,0.00, ,415, ,8.3, ,57.8, ,51, ,39.7, ,1.8, ,181, ,57.9, 
44,U.C. Riverside,Los Angeles Basin,11/6/2019,0900,310,0.01, ,0.00, ,813, ,8.1, ,66.1, ,37, ,39.2, ,2.9, ,223, ,57.8, 
44,U.C. Riverside,Los Angeles Basin,11/6/2019,1000,310,0.01, ,0.00, ,1147, ,9.0, ,67.7, ,39, ,41.9, ,5.1, ,259, ,57.8, 
44,U.C. Riverside,Los Angeles Basin,11/6/2019,1100,310,0.02, ,0.00, ,1356, ,8.6, ,70.6, ,34, ,40.7, ,3.7, ,265, ,57.7, 
44,U.C. Riverside,Los Angeles Basin,11/6/2019,1200,310,0.02, ,0.00, ,1438, ,8.4, ,74.8, ,29, ,40.1, ,3.2, ,247, ,57.8, 
44,U.C. Riverside,Los Angeles Basin,11/6/2019,1300,310,0.02, ,0.00, ,1364, ,8.3, ,77.3, ,26, ,39.7, ,4.7, ,270, ,57.9, 
44,U.C. Riverside,Los Angeles Basin,11/6/2019,1400,310,0.02, ,0.00, ,1137, ,10.6, ,78.0, ,33, ,46.2, ,5.8, ,266, ,58.1, 
44,U.C. Riverside,Los Angeles Basin,11/6/2019,1500,310,0.01, ,0.00, ,823, ,10.6, ,76.9, ,33, ,46.0, ,5.7, ,280, ,58.3, 
44,U.C. Riverside,Los Angeles Basin,11/6/2019,1600,310,0.01, ,0.00, ,442, ,11.1, ,75.4, ,37, ,47.2, ,5.9, ,272, ,58.6, 
44,U.C. Riverside,Los Angeles Basin,11/6/2019,1700,310,0.00, ,0.00, ,94, ,11.9, ,71.7, ,45, ,49.1, ,3.3, ,246, ,58.8, 
44,U.C. Riverside,Los Angeles Basin,11/6/2019,1800,310,0.00, ,0.00, ,2, ,12.4, ,65.9, ,57, ,50.3, ,1.3, ,159, ,58.9, 
44,U.C. Riverside,Los Angeles Basin,11/6/2019,1900,310,0.00, ,0.00, ,0, ,12.4, ,63.1, ,63, ,50.2, ,2.2, ,183, ,59.1, 
44,U.C. Riverside,Los Angeles Basin,11/6/2019,2000,310,0.00, ,0.00, ,0, ,12.2, ,60.0, ,69, ,49.8, ,1.4, ,145, ,59.1, 
44,U.C. Riverside,Los Angeles Basin,11/6/2019,2100,310,0.00, ,0.00, ,0, ,12.2, ,57.7, ,75, ,49.8, ,2.2, ,150, ,59.1, 
44,U.C. Riverside,Los Angeles Basin,11/6/2019,2200,310,0.00, ,0.00, ,0, ,11.9, ,56.5, ,77, ,49.2, ,2.4, ,144, ,59.1, 
44,U.C. Riverside,Los Angeles Basin,11/6/2019,2300,310,0.00, ,0.00, ,0, ,11.9, ,55.7, ,79, ,49.2, ,2.7, ,142, ,59.1, 
44,U.C. Riverside,Los Angeles Basin,11/6/2019,2400,310,0.00, ,0.00, ,0, ,11.8, ,54.2, ,82, ,49.0, ,2.1, ,141, ,59.0, 
44,U.C. Riverside,Los Angeles Basin,11/7/2019,0100,311,0.00, ,0.00, ,0, ,11.5, ,53.1, ,83, ,48.2, ,2.1, ,143, ,58.9, 
44,U.C. Riverside,Los Angeles Basin,11/7/2019,0200,311,0.00, ,0.00, ,0, ,11.2, ,51.9, ,85, ,47.5, ,2.1, ,143, ,58.9, 
44,U.C. Riverside,Los Angeles Basin,11/7/2019,0300,311,0.00, ,0.00, ,0, ,11.0, ,51.1, ,86, ,47.0, ,2.5, ,139, ,58.8, 
44,U.C. Riverside,Los Angeles Basin,11/7/2019,0400,311,0.00, ,0.00, ,0, ,10.7, ,50.0, ,87, ,46.4, ,1.7, ,140, ,58.7, 
44,U.C. Riverside,Los Angeles Basin,11/7/2019,0500,311,0.00, ,0.00, ,0, ,10.5, ,49.1, ,88, ,45.8, ,1.8, ,117, ,58.6, 
44,U.C. Riverside,Los Angeles Basin,11/7/2019,0600,311,0.00, ,0.00, ,0, ,10.2, ,48.4, ,88, ,45.1, ,1.3, ,93, ,58.4, 
44,U.C. Riverside,Los Angeles Basin,11/7/2019,0700,311,0.00, ,0.00, ,79, ,10.2, ,48.5, ,88, ,45.0, ,1.3, ,94, ,58.3, 
44,U.C. Riverside,Los Angeles Basin,11/7/2019,0800,311,0.00, ,0.00, ,428, ,11.0, ,53.7, ,78, ,47.0, ,1.3, ,117, ,58.1, 
44,U.C. Riverside,Los Angeles Basin,11/7/2019,0900,311,0.01, ,0.00, ,793, ,10.8, ,60.0, ,61, ,46.5, ,2.3, ,258, ,58.0, 
44,U.C. Riverside,Los Angeles Basin,11/7/2019,1000,311,0.01, ,0.00, ,1134, ,11.0, ,65.9, ,51, ,47.1, ,1.8, ,325, ,57.9, 
44,U.C. Riverside,Los Angeles Basin,11/7/2019,1100,311,0.01, ,0.00, ,1349, ,9.5, ,71.6, ,36, ,43.2, ,2.2, ,308, ,57.9, 
44,U.C. Riverside,Los Angeles Basin,11/7/2019,1200,311,0.02, ,0.00, ,1424, ,9.3, ,77.0, ,29, ,42.6, ,2.4, ,241, ,58.0, 
